EPI with 20 alternatives (seed 0)
it |init pts | corrects | ranks |tau_min|tau_max|tau_mu |tau_med| center ok| deleted 
 4 |  3564   |    4     | 2374  |-0.389 | 1.000 | 0.275 | 0.273 |          |  1814   
 5 |  3233   |    7     | 1741  |-0.389 | 1.000 | 0.407 | 0.400 |          |   839   
 6 |  3004   |    7     | 1626  |-0.221 | 1.000 | 0.460 | 0.452 |          |  1380   
 7 |  3005   |    15    | 1350  |-0.136 | 1.000 | 0.498 | 0.484 |          |  1457   
 8 |  3001   |    25    | 1112  |-0.147 | 1.000 | 0.507 | 0.494 |          |  1282   
 9 |  3001   |    46    |  923  |-0.200 | 1.000 | 0.544 | 0.526 |          |  1413   
10 |  3000   |    88    |  708  |-0.200 | 1.000 | 0.570 | 0.557 |          |  1908   
11 |  3000   |   180    |  576  |-0.189 | 1.000 | 0.596 | 0.621 |          |  1514   
12 |  2447   |   286    |  314  |-0.189 | 1.000 | 0.687 | 0.747 |          |   370   
13 |  2320   |   318    |  166  | 0.094 | 1.000 | 0.756 | 0.810 |          |   567   
14 |  2723   |   490    |  130  | 0.094 | 1.000 | 0.787 | 0.842 |          |   115   
15 |  2792   |   529    |  108  | 0.094 | 1.000 | 0.795 | 0.842 |          |   85    
16 |  2906   |   567    |  93   | 0.094 | 1.000 | 0.796 | 0.842 |          |   60    
17 |  3000   |   591    |  83   | 0.094 | 1.000 | 0.798 | 0.842 |          |   373   
18 |  2773   |   621    |  56   | 0.400 | 1.000 | 0.842 | 0.852 |          |   278   
19 |  2624   |   657    |  43   | 0.400 | 1.000 | 0.847 | 0.873 |          |   212   
20 |  2539   |   691    |  26   | 0.484 | 1.000 | 0.865 | 0.884 |          |    0    

SHA with 20 alternatives (seed 1)
it |init pts | corrects | ranks |tau_min|tau_max|tau_mu |tau_med| center ok| deleted 
 1 |  3000   |    0     | 2591  |-0.178 | 0.873 | 0.301 | 0.294 |          |  1394   
 2 |  3155   |    0     | 2161  |-0.126 | 0.884 | 0.346 | 0.336 |          |  1033   
 3 |  3006   |    1     | 1928  |-0.126 | 1.000 | 0.367 | 0.368 |          |   557   
 4 |  3007   |    1     | 1777  |-0.115 | 1.000 | 0.375 | 0.378 |          |   621   
 5 |  3039   |    1     | 1733  |-0.115 | 1.000 | 0.394 | 0.400 |          |  1195   
 6 |  3340   |    2     | 1228  |-0.105 | 1.000 | 0.395 | 0.410 |          |  1470   
 7 |  3302   |    4     |  744  |-0.094 | 1.000 | 0.360 | 0.389 |          |  1429   
 8 |  3273   |    7     |  602  |-0.094 | 1.000 | 0.412 | 0.410 |          |  2486   
 9 |  3000   |    22    |  452  |-0.073 | 1.000 | 0.420 | 0.400 |          |  1638   
10 |  3000   |    39    |  291  |-0.073 | 1.000 | 0.448 | 0.421 |          |   612   
11 |  3000   |    42    |  202  | 0.263 | 1.000 | 0.491 | 0.442 |          |  2429   
12 |  3000   |   337    |  188  | 0.263 | 1.000 | 0.694 | 0.652 |          |  1469   
13 |  2536   |   562    |  117  | 0.263 | 1.000 | 0.784 | 0.736 |          |  1058   
14 |  2416   |   918    |  74   | 0.284 | 1.000 | 0.841 | 0.757 |          |   300   
15 |  2136   |   919    |  48   | 0.400 | 1.000 | 0.861 | 0.947 |          |   172   
16 |  3228   |   1448   |  33   | 0.400 | 1.000 | 0.874 | 0.947 |          |    7    
17 |  3221   |   1448   |  28   | 0.400 | 1.000 | 0.874 | 0.947 |          |    5    
18 |  3216   |   1448   |  24   | 0.400 | 1.000 | 0.874 | 0.947 |          |   363   
19 |  2861   |   1451   |  17   | 0.431 | 1.000 | 0.898 | 1.000 |          |  1020   
20 |  2754   |   2177   |   8   | 0.778 | 1.000 | 0.988 | 1.000 |          |    0    

SHA with 20 alternatives (seed 2)
it |init pts | corrects | ranks |tau_min|tau_max|tau_mu |tau_med| center ok| deleted 
 1 |  3000   |    4     | 2290  | 0.073 | 1.000 | 0.572 | 0.568 |          |  1557   
 2 |  3016   |    7     | 1760  | 0.200 | 1.000 | 0.608 | 0.610 |          |  1386   
 3 |  3105   |    12    | 1412  | 0.168 | 1.000 | 0.625 | 0.631 |          |   754   
 4 |  3029   |    18    | 1213  | 0.200 | 1.000 | 0.634 | 0.642 |          |   738   
 5 |  3004   |    29    | 1092  | 0.136 | 1.000 | 0.644 | 0.652 |          |  1678   
 6 |  3010   |    84    |  786  | 0.210 | 1.000 | 0.671 | 0.673 |          |  1390   
 7 |  3004   |   164    |  439  | 0.178 | 1.000 | 0.717 | 0.747 |          |  1212   
 8 |  3071   |   290    |  418  | 0.168 | 1.000 | 0.750 | 0.736 |          |  1206   
 9 |  3164   |   505    |  197  | 0.305 | 1.000 | 0.841 | 0.884 |          |  1040   
10 |  3000   |   722    |  232  | 0.305 | 1.000 | 0.837 | 0.884 |          |  1371   
11 |  3001   |   1317   |  105  | 0.305 | 1.000 | 0.878 | 0.968 |          |  1294   
12 |  3000   |   2307   |  42   | 0.431 | 1.000 | 0.972 | 1.000 |          |   323   
13 |  3000   |   2577   |  33   | 0.431 | 1.000 | 0.974 | 1.000 |          |   164   
14 |  3001   |   2722   |  22   | 0.547 | 1.000 | 0.988 | 1.000 |          |   84    
15 |  3000   |   2799   |   9   | 0.768 | 1.000 | 0.992 | 1.000 |          |   65    
16 |  3000   |   2858   |   7   | 0.768 | 1.000 | 0.995 | 1.000 |          |   56    
17 |  3001   |   2914   |   4   | 0.842 | 1.000 | 0.998 | 1.000 |          |   51    
18 |  3000   |   2964   |   3   | 0.842 | 1.000 | 0.999 | 1.000 |          |   13    
19 |  3000   |   2977   |   2   | 0.842 | 1.000 | 0.999 | 1.000 |          |   12    
20 |  3001   |   2990   |   1   | 0.842 | 1.000 | 0.999 | 1.000 |          |    0    

GEQ with 20 alternatives (seed 0)
it |init pts | corrects | ranks |tau_min|tau_max|tau_mu |tau_med| center ok| deleted 
 1 |  3000   |    0     | 2950  |-0.368 | 0.957 | 0.245 | 0.231 |          |  1195   
 2 |  3560   |    0     | 2924  |-0.347 | 0.957 | 0.291 | 0.284 |          |  1437   
 3 |  3036   |    0     | 2544  |-0.305 | 0.957 | 0.326 | 0.305 |          |  1425   
 4 |  3041   |    0     | 2012  |-0.305 | 0.957 | 0.386 | 0.389 |          |  1336   
 5 |  3192   |    0     | 1711  |-0.210 | 0.957 | 0.338 | 0.326 |          |  1423   
 6 |  3186   |    1     | 1438  |-0.210 | 1.000 | 0.342 | 0.336 |          |  1549   
 7 |  3000   |    3     |  989  |-0.136 | 1.000 | 0.369 | 0.326 |          |  1448   
 8 |  3003   |    4     |  792  |-0.294 | 1.000 | 0.446 | 0.463 |          |  1308   
 9 |  3000   |    10    |  531  |-0.136 | 1.000 | 0.555 | 0.568 |          |  1308   
10 |  3002   |    22    |  418  | 0.042 | 1.000 | 0.695 | 0.726 |          |  1819   
11 |  2465   |    66    |  247  | 0.094 | 1.000 | 0.728 | 0.778 |          |   936   
12 |  2871   |   127    |  199  | 0.168 | 1.000 | 0.685 | 0.684 |          |  1462   
13 |  2468   |   217    |  97   | 0.242 | 1.000 | 0.813 | 0.831 |          |   524   
14 |  3127   |   326    |  53   | 0.242 | 1.000 | 0.832 | 0.873 |          |   434   
15 |  2839   |   349    |  29   | 0.421 | 1.000 | 0.867 | 0.905 |          |   246   
16 |  2736   |   379    |  14   | 0.494 | 1.000 | 0.875 | 0.905 |          |   158   
17 |  2704   |   400    |   9   | 0.568 | 1.000 | 0.884 | 0.905 |          |  1126   
18 |  2479   |   615    |   3   | 0.663 | 1.000 | 0.922 | 0.905 |          |   163   
19 |  2390   |   640    |   2   | 0.905 | 1.000 | 0.941 | 0.905 |          |   400   
20 |  3011   |   922    |   1   | 0.905 | 1.000 | 0.934 | 0.905 |          |    0    

GEQ with 20 alternatives (seed 1)
it |init pts | corrects | ranks |tau_min|tau_max|tau_mu |tau_med| center ok| deleted 
 1 |  3000   |    0     | 2997  |-0.578 | 0.978 | 0.175 | 0.178 |          |  1613   
 2 |  3008   |    0     | 2845  |-0.578 | 0.978 | 0.144 | 0.147 |          |  1683   
 3 |  3022   |    0     | 2712  |-0.336 | 0.978 | 0.257 | 0.263 |          |  1442   
 4 |  3005   |    0     | 2602  |-0.368 | 0.894 | 0.210 | 0.210 |          |  1577   
 5 |  3003   |    0     | 2497  |-0.284 | 0.926 | 0.292 | 0.294 |          |  1221   
 6 |  3272   |    0     | 2571  |-0.284 | 0.926 | 0.255 | 0.252 |          |  1670   
 7 |  3001   |    0     | 2180  |-0.210 | 0.957 | 0.314 | 0.305 |          |  1253   
 8 |  3014   |    1     | 2032  |-0.210 | 1.000 | 0.337 | 0.315 |          |  1634   
 9 |  3000   |    4     | 2031  |-0.157 | 1.000 | 0.374 | 0.368 |          |  1409   
10 |  3000   |    6     | 1848  |-0.178 | 1.000 | 0.400 | 0.389 |          |  1269   
11 |  3000   |    8     | 1532  |-0.178 | 1.000 | 0.354 | 0.336 |          |  1624   
12 |  2399   |    11    | 1057  |-0.094 | 1.000 | 0.533 | 0.526 |          |  1116   
13 |  2996   |    21    |  939  | 0.094 | 1.000 | 0.548 | 0.526 |          |  1346   
14 |  2482   |    28    |  548  | 0.126 | 1.000 | 0.597 | 0.589 |          |   998   
15 |  2159   |    42    |  408  | 0.200 | 1.000 | 0.663 | 0.673 |          |  1194   
16 |  2620   |   102    |  282  | 0.305 | 1.000 | 0.702 | 0.726 |          |  1335   
17 |  2531   |   170    |  117  | 0.273 | 1.000 | 0.723 | 0.736 |          |  1085   
18 |  2599   |   272    |  85   | 0.315 | 1.000 | 0.750 | 0.747 |          |  1081   
19 |  2602   |   427    |  56   | 0.315 | 1.000 | 0.749 | 0.757 |          |   825   
20 |  2296   |   521    |  37   | 0.431 | 1.000 | 0.810 | 0.768 |          |    0    

GEQ with 20 alternatives (seed 2)
it |init pts | corrects | ranks |tau_min|tau_max|tau_mu |tau_med| center ok| deleted 
 1 |  3000   |    0     | 2999  |-0.421 | 0.894 | 0.173 | 0.178 |          |  1467   
 2 |  3009   |    0     | 2762  |-0.421 | 0.894 | 0.159 | 0.157 |          |   841   
 3 |  3004   |    0     | 2809  |-0.421 | 0.894 | 0.145 | 0.136 |          |  1198   
 4 |  3445   |    0     | 2940  |-0.347 | 0.894 | 0.253 | 0.252 |          |  1723   
 5 |  3243   |    0     | 2492  |-0.221 | 0.947 | 0.295 | 0.294 |          |  1960   
 6 |  3007   |    0     | 2334  |-0.221 | 0.947 | 0.329 | 0.326 |          |  1746   
 7 |  3001   |    0     | 2257  |-0.221 | 0.947 | 0.325 | 0.305 |          |  1762   
 8 |  3001   |    1     | 2215  |-0.168 | 1.000 | 0.494 | 0.494 |          |  1388   
 9 |  3002   |    2     | 1831  |-0.168 | 1.000 | 0.499 | 0.505 |          |  1429   
10 |  3000   |    3     | 1583  |-0.063 | 1.000 | 0.500 | 0.505 |          |  1536   
11 |  2765   |    4     | 1339  |-0.063 | 1.000 | 0.552 | 0.568 |          |  1392   
12 |  2368   |    5     | 1073  | 0.052 | 1.000 | 0.552 | 0.557 |          |  1143   
13 |  3057   |    14    |  701  | 0.021 | 1.000 | 0.619 | 0.610 |          |  1147   
14 |  3027   |    20    |  503  | 0.136 | 1.000 | 0.653 | 0.652 |          |   629   
15 |  2444   |    20    |  323  | 0.136 | 1.000 | 0.660 | 0.663 |          |   375   
16 |  2120   |    20    |  218  | 0.263 | 1.000 | 0.698 | 0.684 |          |  1781   
17 |  2370   |   114    |  120  | 0.400 | 1.000 | 0.791 | 0.810 |          |   928   
18 |  2094   |   164    |  58   | 0.505 | 1.000 | 0.793 | 0.810 |          |  1149   
19 |  2637   |   418    |  27   | 0.684 | 1.000 | 0.919 | 0.926 |          |   230   
20 |  2407   |   418    |  18   | 0.684 | 1.000 | 0.921 | 0.926 |          |    0    

